Epoch,AUC,AP
1,0.7726619201438174,0.7836135231769319
2,0.7706717718687701,0.7812703659660091
3,0.7695849210458027,0.7798455463996202
4,0.7689602367768226,0.7790091743451382
5,0.7686015701770423,0.7785086119744065
6,0.7684839247162393,0.7783706827630554
7,0.76850676988137,0.7784115062038652
8,0.7686024703255708,0.7785391500417521
9,0.7687778271544068,0.7787526657621977
10,0.7690348376062969,0.7790485223968691
11,0.7694110843834115,0.7794737146974672
12,0.7699518134198483,0.7800776550393334
13,0.7707555529783681,0.7809491642533264
14,0.7719532112420641,0.7822141605071788
15,0.7734899423253763,0.783845954443986
16,0.7744969087020035,0.7850807468096387
17,0.7734316438108159,0.7843345487244076
18,0.7713454488160594,0.7822579363148482
19,0.7700637318710908,0.7808230754821965
20,0.7695036541751741,0.7803388033981323
21,0.7694449520539247,0.7805920687423951
22,0.7706123197465148,0.7821313385664681
23,0.7747854474906867,0.7862035863810534
24,0.7787413876362442,0.789451705251551
25,0.779302605278782,0.7893551162366979
26,0.7792680773583626,0.7889660703663928
27,0.7789760602288334,0.7883374191371973
28,0.7778942100297634,0.7870140282587226
29,0.7767542794290528,0.7859636064181795
30,0.7764930793483893,0.7860161560510693
31,0.7769649714739391,0.7867906784973642
32,0.7784684209457164,0.7884466568595082
33,0.7805641497598337,0.7906102002949537
34,0.7818360986475563,0.7919524401002415
35,0.7822122511826347,0.7923911024021393
36,0.78247455605011,0.792647691237889
37,0.7838379275064503,0.7938219530828947
38,0.7860520544454996,0.7957256799379302
39,0.7881028282438843,0.7974807332341466
40,0.7893326367906313,0.7983535713440649
41,0.7901862799820193,0.798795564593709
42,0.7909507111380143,0.798813175391423
43,0.7913412721197207,0.7983014781386178
44,0.7931009308709315,0.7992946959230518
45,0.7947933089916275,0.8009869779822124
46,0.796823430382625,0.8032182584837053
47,0.7989449102463242,0.805683308777568
48,0.8023380466098187,0.8090341334841805
49,0.8044057331358759,0.8106310873379692
50,0.8051901208417271,0.8107721320020543
51,0.8056009961164968,0.8102962806010163
52,0.8057238271667292,0.8101295254521549
53,0.8046944584583544,0.8110600468010464
54,0.804659247171678,0.811794362844829
55,0.8028323854829705,0.8090723306882408
56,0.7970981041590607,0.8038607889061979
57,0.7919347519038071,0.798838040802841
58,0.7897208781625471,0.7976729064824062
59,0.7866255618325915,0.7951874546225371
60,0.7821209330771827,0.7907429261414713
61,0.7759239352853082,0.7857848275412597
62,0.780636443589599,0.7890728161345234
63,0.7815109721997973,0.7901512809298368
64,0.779924170819976,0.7896644429264593
65,0.7805113815456037,0.7900560428013025
66,0.7843601877797689,0.7929194347401513
67,0.7921841534737872,0.7994041467329533
68,0.7892697746987011,0.7989098935158924
69,0.7893130975944458,0.7992737969275652
70,0.7926585236110539,0.800950495997006
71,0.7952914270581539,0.8026075060211073
72,0.795339420235333,0.8048431163229363
73,0.795603663604459,0.8054089994575669
74,0.7988644061787039,0.806558768696878
75,0.7986300101780819,0.8074293820021505
76,0.7978776976449645,0.808142324135047
77,0.7952602591733866,0.8062753002321131
78,0.7992170838414998,0.8090089144373088
79,0.7999766877142385,0.8087598881532548
80,0.7985948181638652,0.8078117101421777
81,0.7968195874004063,0.8072165221054487
82,0.796685145440729,0.8074911712200206
83,0.7977056514825535,0.8083553630208772
84,0.7976061683319211,0.8075245888508127
85,0.7950801386563908,0.8056180535194808
86,0.7938630837805426,0.8054590150758255
87,0.7964942832892278,0.8076873671483185
88,0.797609769977029,0.808376054870991
89,0.7930314801530371,0.804029674474593
90,0.7932251522799877,0.8048455458248397
91,0.7942339516258292,0.8062095478810671
92,0.796862334931706,0.8084017615614716
93,0.7948474745213372,0.8068222801881375
94,0.7915587421136088,0.8044620457319352
95,0.7938116973746276,0.8064460860876933
96,0.7990119691539884,0.8103827154983094
97,0.7965138486706621,0.8086768286467305
98,0.7920455981636265,0.8056322158343285
99,0.7916633913308001,0.8055085244643153
100,0.7987514138891786,0.8108606848874386
101,0.7988210654946832,0.8105899604818028
102,0.7937449409846299,0.8074471048231244
103,0.7904248285013282,0.8050668300759835
104,0.796153600736677,0.8096199715693014
105,0.7996078424847272,0.8117650624007975
106,0.7942625843230624,0.8078955712699063
107,0.79081818015678,0.8059142452943702
108,0.794413483621782,0.8084240906971432
109,0.7984459539338105,0.8116968304245766
110,0.7965003755305451,0.80949996577759
111,0.7905474388760468,0.8050484483741742
