Epoch,AUC,AP
1,0.7846788243199917,0.7937514989105091
2,0.782229609181972,0.7906547297469838
3,0.7798708175367887,0.7868573862949666
4,0.7788118423162562,0.7850200402471208
5,0.7783501018503588,0.7841749896918115
6,0.7782662550478457,0.7839101109530481
7,0.7783097140182906,0.7838812941095784
8,0.7784475186368371,0.7840166445169611
9,0.7786506516683239,0.7842547213959746
10,0.7788798765578462,0.7845287564824697
11,0.7790983390712968,0.7847773956081913
12,0.7792978859826464,0.785006814177471
13,0.7794834850207286,0.7852161186817168
14,0.7796724747645757,0.7854188045349214
15,0.7798915359412798,0.7856416757770492
16,0.7801824977761771,0.785915487555248
17,0.7805971961361693,0.786282155408157
18,0.7811873077433525,0.7867959719641886
19,0.7819002081332094,0.787444048013808
20,0.7822424218763357,0.7878443004534176
21,0.7814811394343861,0.7873314060769563
22,0.7803856485715533,0.7864577444618189
23,0.7799083569111988,0.7861179866323673
24,0.7798138410273798,0.7861540862198805
25,0.7799106971841767,0.7864329568732971
26,0.7801573081520106,0.7869524634679229
27,0.78044716868344,0.7874857891942424
28,0.7805193969997061,0.7875230005987213
29,0.7804691030956691,0.7872695074828308
30,0.7806969229700449,0.7873073895705521
31,0.7813093061593159,0.7876912213972311
32,0.7820021558247074,0.788088309750233
33,0.7822927973868967,0.7881554731486706
34,0.7822479451630479,0.7880194108861093
35,0.7823082834089297,0.7880166235743536
36,0.7826078457083777,0.7882177780895392
37,0.7829230659586277,0.7884511148602722
38,0.7829763507859345,0.7885133606801636
39,0.7828836004245939,0.788474876577423
40,0.7828299654201384,0.7884579955082929
41,0.7829329758059672,0.788541394824863
42,0.7831318274433028,0.7886834175510095
43,0.7833188316322248,0.7888106781949527
44,0.7833540508806512,0.7888322501733972
45,0.7832718169953566,0.7887736662910337
46,0.7832958808495056,0.7887947307814578
47,0.7834337534323564,0.7888938032850817
48,0.7835234543885077,0.7889737856397312
49,0.7835338429426703,0.7889952129579673
50,0.7835425058349751,0.7890236152367912
51,0.7835609806473565,0.7890662297003487
52,0.7835872507362448,0.7891136927538975
53,0.7836204072954326,0.7891620015512872
54,0.7836584408363207,0.7892066810273085
55,0.7837233217803447,0.789265780267752
56,0.7837711046255642,0.7893064071236623
57,0.7837949869003562,0.7893260633642943
58,0.7837960507042583,0.7893263386438549
59,0.7838253977731006,0.7893554620457427
60,0.7838413160265929,0.7893836879374423
61,0.7837951532148333,0.7893548410958239
